Sl. No.,ACT,MAJOR HEAD,MINOR HEAD,During the current year upto the end of month under review,During the corresponding month of previous year,During the previous month,During the current month,Month,Year
9732,A - IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 139, 167, 218, 221, 222 IPC)",Other Elected Member,0.0,0.0,0.0,0.0,MAR,2022
9733,A - IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 139, 167, 218, 221, 222 IPC)",Other Enforcement Official,0.0,0.0,0.0,0.0,MAR,2022
9734,A - IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 139, 167, 218, 221, 222 IPC)",Other Govt. Official,2.0,0.0,1.0,1.0,MAR,2022
9735,A - IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 139, 167, 218, 221, 222 IPC)",Para Military Personnel,0.0,0.0,0.0,0.0,MAR,2022
9736,A - IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 139, 167, 218, 221, 222 IPC)",Police Personnel,2.0,0.0,1.0,0.0,MAR,2022
9737,A - IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 139, 167, 218, 221, 222 IPC)",Public Sector Undertaking Official,0.0,0.0,0.0,0.0,MAR,2022
9738,A - IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 139, 167, 218, 221, 222 IPC)",Others,3.0,0.0,0.0,1.0,MAR,2022
9739,A - IPC Crime,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC)",Animal -Related,6.0,3.0,2.0,2.0,MAR,2022
9740,A - IPC Crime,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC)",Boat/Vessel - Related,0.0,0.0,0.0,0.0,MAR,2022
9741,A - IPC Crime,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC)",Explosive/Explosive Substances - Related,6.0,1.0,3.0,1.0,MAR,2022
9742,A - IPC Crime,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC)",Inflammable Substance- Related ,4.0,1.0,0.0,1.0,MAR,2022
9743,A - IPC Crime,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC)",Machinery - Related,44.0,9.0,9.0,23.0,MAR,2022
9744,A - IPC Crime,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC)",Poisonous Substance - Related,2.0,0.0,1.0,1.0,MAR,2022
9745,A - IPC Crime,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC)",Other - Related,194.0,47.0,52.0,66.0,MAR,2022
9746,A - IPC Crime,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC)",Human - Related,95.0,15.0,19.0,38.0,MAR,2022
9747,A - IPC Crime,RECEIVING OF STOLEN PROPERTY (Sec.411 to 414 IPC),RECEIVING OF STOLEN PROPERTY (Sec.411 to 414 IPC),1.0,1.0,1.0,0.0,MAR,2022
9748,A - IPC Crime,SEDITION (Sec. 124A IPC),Attempt to Commit,0.0,0.0,0.0,0.0,MAR,2022
9749,A - IPC Crime,SEDITION (Sec. 124A IPC),By Foreigner,0.0,0.0,0.0,0.0,MAR,2022
9750,A - IPC Crime,SEDITION (Sec. 124A IPC),By National,0.0,0.0,0.0,0.0,MAR,2022
9751,A - IPC Crime,SEDITION (Sec. 124A IPC),By National And Foreigner,0.0,0.0,0.0,0.0,MAR,2022
9752,A - IPC Crime,SEDITION (Sec. 124A IPC),Attempt to Commit,0.0,1.0,0.0,0.0,MAR,2022
9753,A - IPC Crime,SEDITION (Sec. 124A IPC),Office,2.0,0.0,0.0,2.0,MAR,2022
9754,A - IPC Crime,SEDITION (Sec. 124A IPC),Public Conveyance,0.0,0.0,0.0,0.0,MAR,2022
9755,A - IPC Crime,SEDITION (Sec. 124A IPC),Public Place,10.0,4.0,2.0,3.0,MAR,2022
9756,A - IPC Crime,SEDITION (Sec. 124A IPC),Other Places,12.0,0.0,5.0,3.0,MAR,2022
9757,A - IPC Crime,"SUICIDE (Sec.305, 306, 309 IPC)",Dowry,4.0,1.0,2.0,0.0,MAR,2022
9758,A - IPC Crime,"SUICIDE (Sec.305, 306, 309 IPC)",Abetment of Suicide,82.0,30.0,27.0,28.0,MAR,2022
9759,A - IPC Crime,"SUICIDE (Sec.305, 306, 309 IPC)",Other Reasons,81.0,26.0,26.0,34.0,MAR,2022
9760,A - IPC Crime,"SUICIDE (Sec.305, 306, 309 IPC)",Attempt to Commit suicide,28.0,13.0,6.0,8.0,MAR,2022
9761,A - IPC Crime,UNNATURAL SEX (Sec.377 IPC),Abetment  ,0.0,0.0,0.0,0.0,MAR,2022
9762,A - IPC Crime,UNNATURAL SEX (Sec.377 IPC),Animal  ,1.0,0.0,1.0,0.0,MAR,2022
9763,A - IPC Crime,UNNATURAL SEX (Sec.377 IPC),Attempt,0.0,0.0,0.0,0.0,MAR,2022
9764,A - IPC Crime,UNNATURAL SEX (Sec.377 IPC),Major - Man,0.0,1.0,0.0,0.0,MAR,2022
9765,A - IPC Crime,UNNATURAL SEX (Sec.377 IPC),Major - Woman,1.0,0.0,0.0,1.0,MAR,2022
9766,A - IPC Crime,UNNATURAL SEX (Sec.377 IPC),Minor - Boy,0.0,0.0,0.0,0.0,MAR,2022
9767,A - IPC Crime,UNNATURAL SEX (Sec.377 IPC),Minor - Girl,0.0,0.0,0.0,0.0,MAR,2022
9768,A - IPC Crime,WRONGFUL RESTRAINT/CONFINEMENT (Sec.341 to 348 IPC),Attempt to Commit,7.0,3.0,2.0,0.0,MAR,2022
9769,A - IPC Crime,WRONGFUL RESTRAINT/CONFINEMENT (Sec.341 to 348 IPC),To Extort Confession,0.0,0.0,0.0,0.0,MAR,2022
9770,A - IPC Crime,WRONGFUL RESTRAINT/CONFINEMENT (Sec.341 to 348 IPC),To Extort Property,5.0,1.0,1.0,0.0,MAR,2022
9771,A - IPC Crime,WRONGFUL RESTRAINT/CONFINEMENT (Sec.341 to 348 IPC),To settle Dispute,5.0,1.0,0.0,5.0,MAR,2022
9772,A - IPC Crime,WRONGFUL RESTRAINT/CONFINEMENT (Sec.341 to 348 IPC),Others,84.0,29.0,28.0,26.0,MAR,2022
9773,A - IPC Crime,"INFANTICIDE (Sec.315, 316 IPC)",Male,0.0,0.0,0.0,0.0,MAR,2022
9774,A - IPC Crime,"INFANTICIDE (Sec.315, 316 IPC)",Female,0.0,0.0,0.0,0.0,MAR,2022
9775,A - IPC Crime,OFFENCES RELATED TO MARRIAGE (Sec.493 to 498 IPC),OFFENCES RELATED TO MARRIAGE (Sec.493 to 498 IPC),10.0,2.0,5.0,3.0,MAR,2022
9776,A - IPC Crime,"BUYING & SELLING MINOR FOR PROSTITUTION (Sec.372, 373 IPC)","BUYING & SELLING MINOR FOR PROSTITUTION (Sec.372, 373 IPC)",0.0,0.0,0.0,0.0,MAR,2022
9777,A - IPC Crime,DOCUMENTS & PROPERTY MARKS (Sec.483 to 489 IPC),Documents  ,0.0,0.0,0.0,0.0,MAR,2022
9778,A - IPC Crime,DOCUMENTS & PROPERTY MARKS (Sec.483 to 489 IPC),Property  ,1.0,0.0,1.0,0.0,MAR,2022
9779,A - IPC Crime,DEFAMATION (Sec.500 to 502 IPC),Persons ,1.0,0.0,0.0,0.0,MAR,2022
9780,A - IPC Crime,DEFAMATION (Sec.500 to 502 IPC),Printed Matter,1.0,0.0,0.0,0.0,MAR,2022
9781,A - IPC Crime,DEFAMATION (Sec.500 to 502 IPC),Others,1.0,0.0,0.0,0.0,MAR,2022
9782,A - IPC Crime,ELECTION(Sec.171(E) to 171(1) IPC),Assembly,0.0,1.0,0.0,0.0,MAR,2022
9783,A - IPC Crime,ELECTION(Sec.171(E) to 171(1) IPC),Parliament,0.0,0.0,0.0,0.0,MAR,2022
9784,A - IPC Crime,ELECTION(Sec.171(E) to 171(1) IPC),Other Elected Bodies,0.0,1.0,0.0,0.0,MAR,2022
9785,A - IPC Crime,"SLAVERY (Sec.370, 371, 374 IPC)",Man,0.0,0.0,0.0,0.0,MAR,2022
9786,A - IPC Crime,"SLAVERY (Sec.370, 371, 374 IPC)",Woman,4.0,0.0,2.0,2.0,MAR,2022
9787,A - IPC Crime,"SLAVERY (Sec.370, 371, 374 IPC)",Boy,0.0,0.0,0.0,0.0,MAR,2022
9788,A - IPC Crime,"SLAVERY (Sec.370, 371, 374 IPC)",Girl,0.0,0.0,0.0,0.0,MAR,2022
9789,A - IPC Crime,Attempting to commit offences (Sec.511 IPC),Attempting to commit offences,53.0,15.0,14.0,26.0,MAR,2022
9790,A - IPC Crime,ILLEGAL DETENTION (Sec.342 IPC),ILLEGAL DETENTION (Sec.342 IPC),0.0,0.0,0.0,0.0,MAR,2022
9791,A - IPC Crime,FALSE EVIDENCE (Sec.191 to 205 IPC),FALSE EVIDENCE (Sec.191 to 205 IPC),3.0,0.0,1.0,2.0,MAR,2022
9792,A - IPC Crime,EXPOSURE AND ABANDONMENT OF CHILD (Sec.317 IPC),Boy ,6.0,3.0,3.0,2.0,MAR,2022
9793,A - IPC Crime,EXPOSURE AND ABANDONMENT OF CHILD (Sec.317 IPC),Girl,10.0,1.0,4.0,3.0,MAR,2022
9794,A - IPC Crime,OF ABETMENT (Sec.107 to 120 IPC),OF ABETMENT (Sec.107 to 120 IPC),3.0,0.0,1.0,1.0,MAR,2022
9795,A - IPC Crime,"FAILURE TO APPEAR TO COURT (Sec.174, 229A IPC)",174 A,8.0,1.0,1.0,1.0,MAR,2022
9796,A - IPC Crime,"FAILURE TO APPEAR TO COURT (Sec.174, 229A IPC)",229 A,50.0,8.0,14.0,27.0,MAR,2022
9797,A - IPC Crime,Concealment of birth by secret disposal of Child,Girl,6.0,3.0,1.0,3.0,MAR,2022
9798,A - IPC Crime,Concealment of birth by secret disposal of Child,Boy,7.0,2.0,4.0,1.0,MAR,2022
9799,A - IPC Crime,ASSAULT OR USE OF CRIMINAL FORCE TO DISROBE WOMEN,ASSAULT OR USE OF CRIMINAL FORCE TO DISROBE WOMEN,2.0,1.0,0.0,0.0,MAR,2022
9800,A - IPC Crime,Disobedience to Order Promulgated by Public/Servant,By Private Institution,17.0,3.0,2.0,5.0,MAR,2022
9801,A - IPC Crime,Disobedience to Order Promulgated by Public/Servant,By Govt. Institution,2.0,0.0,1.0,0.0,MAR,2022
9802,A - IPC Crime,Disobedience to Order Promulgated by Public/Servant,By Others,15.0,5.0,3.0,5.0,MAR,2022
9803,A - IPC Crime,ANTIQUES (CULTURAL PROPERTY),Antiques & Art Treasures Act 1972,0.0,0.0,0.0,0.0,MAR,2022
9804,A - IPC Crime,ANTIQUES (CULTURAL PROPERTY),Ancient Monument & Archaelogical Sites And Remains Act 1958,2.0,1.0,1.0,1.0,MAR,2022
9805,A - IPC Crime,ARMS ACT 1959,Country Made - Non Prohibited Bore - In Disturbed Area,2.0,1.0,1.0,1.0,MAR,2022
9806,A - IPC Crime,ARMS ACT 1959,Country Made - Non Prohibited Bore - In Other Area,19.0,13.0,3.0,11.0,MAR,2022
9807,A - IPC Crime,ARMS ACT 1959,Country Made - Prohibited Bore - In Disturbed Area,3.0,0.0,0.0,2.0,MAR,2022
9808,A - IPC Crime,ARMS ACT 1959,Country Made - Prohibited Bore - In Other Area,19.0,9.0,8.0,4.0,MAR,2022
9809,A - IPC Crime,ARMS ACT 1959,Factory Made - Non Prohibited Bore - In Disturbed Area,0.0,0.0,0.0,0.0,MAR,2022
9810,A - IPC Crime,ARMS ACT 1959,Factory Made - Non Prohibited Bore - In Other Area,6.0,6.0,1.0,2.0,MAR,2022
9811,A - IPC Crime,ARMS ACT 1959,Factory Made - Prohibited Bore - In Disturbed Area,2.0,0.0,1.0,0.0,MAR,2022
9812,A - IPC Crime,ARMS ACT 1959,Factory Made - Prohibited Bore - In Other Area,1.0,3.0,0.0,0.0,MAR,2022
9813,A - IPC Crime,ANIMAL,Wild Life Preservation Act 1972,1.0,0.0,0.0,1.0,MAR,2022
9814,A - IPC Crime,ANIMAL,Wild Life Protection Act 1972,0.0,0.0,0.0,0.0,MAR,2022
9815,A - IPC Crime,ANIMAL,Prevention of Cruelty to Animals Act 1960,62.0,21.0,18.0,15.0,MAR,2022
9816,A - IPC Crime,ANIMAL,Elephant (Preservation) Act 1879,0.0,0.0,0.0,0.0,MAR,2022
9817,A - IPC Crime,ANIMAL,Cattle Tresspass Act 1871,2.0,1.0,2.0,0.0,MAR,2022
9818,A - IPC Crime,CINEMATOGRAPHY ACT 1952,Films,0.0,0.0,0.0,0.0,MAR,2022
9819,A - IPC Crime,CINEMATOGRAPHY ACT 1952,Video,0.0,0.0,0.0,0.0,MAR,2022
9820,A - IPC Crime,CONSUMER,Liquified Petroleum Gas Supply & Control Order 2000 ,7.0,1.0,1.0,3.0,MAR,2022
9821,A - IPC Crime,CONSUMER,Consumer (Protection) Act 1986,3.0,0.0,0.0,2.0,MAR,2022
9822,A - IPC Crime,CONSUMER,Essential Commodities Act 1955,181.0,44.0,55.0,65.0,MAR,2022
9823,A - IPC Crime,CONSUMER,Prevention of Food Adulternation Act 1954,6.0,0.0,3.0,3.0,MAR,2022
9824,A - IPC Crime,CONSUMER,Packaged Commodities (Regulation) order 1975,1.0,0.0,0.0,1.0,MAR,2022
9825,A - IPC Crime,COPY RIGHT ACT 1957,By Company,28.0,10.0,8.0,12.0,MAR,2022
9826,A - IPC Crime,COPY RIGHT ACT 1957,By Individual,23.0,6.0,10.0,8.0,MAR,2022
9827,A - IPC Crime,CIVIL RIGHTS,Protection of Civil Rights Act 1955,1.0,0.0,1.0,0.0,MAR,2022
9828,A - IPC Crime,SCHEDULED CASTE AND THE SCHEDULED TRIBES,Scheduled Caste  ,381.0,102.0,120.0,123.0,MAR,2022
9829,A - IPC Crime,SCHEDULED CASTE AND THE SCHEDULED TRIBES,Scheduled Tribes,82.0,15.0,28.0,33.0,MAR,2022
9830,A - IPC Crime,SCHEDULED CASTE AND THE SCHEDULED TRIBES,Scheduled Caste Women,126.0,25.0,39.0,53.0,MAR,2022
9831,A - IPC Crime,SCHEDULED CASTE AND THE SCHEDULED TRIBES,Scheduled Tribes Women,40.0,5.0,12.0,15.0,MAR,2022
9832,A - IPC Crime,CHILDREN ACT,Child Labour (Prohibition & Regulation) Act1986,24.0,8.0,6.0,8.0,MAR,2022
9833,A - IPC Crime,CHILDREN ACT,The Prohibition of Child Marriage Act - 2006,66.0,10.0,23.0,20.0,MAR,2022
9834,A - IPC Crime,CHILDREN ACT,Juvenile Justice Act 1986,20.0,2.0,8.0,5.0,MAR,2022
9835,A - IPC Crime,CHILDREN ACT,Probation of offenders Act 1958,2.0,0.0,1.0,0.0,MAR,2022
9836,A - IPC Crime,CHILDREN ACT,Protection of Children from Sexual Offences Act 2012 (POCSO),0.0,0.0,0.0,0.0,MAR,2022
9837,A - IPC Crime,PREVENTION OF CORRUPTION ACT 1988,Public Servant - Elected,0.0,0.0,0.0,0.0,MAR,2022
9838,A - IPC Crime,PREVENTION OF CORRUPTION ACT 1988,Public Servant - Gazetted - Central,0.0,0.0,0.0,0.0,MAR,2022
9839,A - IPC Crime,PREVENTION OF CORRUPTION ACT 1988,Public Servant - Gazetted - Defence,0.0,0.0,0.0,0.0,MAR,2022
9840,A - IPC Crime,PREVENTION OF CORRUPTION ACT 1988,Public Servant - Gazetted - Public Sector Undertaking,0.0,0.0,0.0,0.0,MAR,2022
9841,A - IPC Crime,PREVENTION OF CORRUPTION ACT 1988,Public Servant - Gazetted - State,0.0,0.0,0.0,0.0,MAR,2022
9842,A - IPC Crime,PREVENTION OF CORRUPTION ACT 1988,Public Servant - Non-Gazetted - Central,0.0,0.0,0.0,0.0,MAR,2022
9843,A - IPC Crime,PREVENTION OF CORRUPTION ACT 1988,Public Servant - Non-Gazetted - Defence,0.0,0.0,0.0,0.0,MAR,2022
9844,A - IPC Crime,PREVENTION OF CORRUPTION ACT 1988,Public Servant - Non-Gazetted - State,0.0,0.0,0.0,0.0,MAR,2022
9845,A - IPC Crime,CUSTOMS,Customs Act 1962,0.0,0.0,0.0,0.0,MAR,2022
9846,A - IPC Crime,CUSTOMS,Import/Export (Control) Act 1947,0.0,0.0,0.0,0.0,MAR,2022
9847,A - IPC Crime,Explosives,Explosives Substances Act 1908,5.0,21.0,2.0,0.0,MAR,2022
9848,A - IPC Crime,Explosives,Explosives Act 1884,4.0,36.0,0.0,1.0,MAR,2022
9849,A - IPC Crime,Explosives,Inflammable Substance Act 1952,1.0,0.0,0.0,0.0,MAR,2022
9850,A - IPC Crime,FOREIGN EXCHANGE,Smugglers and Foreign Exchange Manipulator Act 1976,0.0,0.0,0.0,0.0,MAR,2022
9851,A - IPC Crime,FOREIGN EXCHANGE,Foreign Exchange Regulation Act 1973,0.0,0.0,0.0,0.0,MAR,2022
9852,A - IPC Crime,FOREIGN EXCHANGE,Foreign Exchange Regulation Act 1952,0.0,0.0,0.0,0.0,MAR,2022
9853,A - IPC Crime,FOREIGNER,Foreigners Act 1946,12.0,1.0,5.0,3.0,MAR,2022
9854,A - IPC Crime,FOREIGNER,Registration of Foreigners Act 1939,0.0,0.0,0.0,0.0,MAR,2022
9855,A - IPC Crime,FOREST,Indian Forest Act 1927,4.0,0.0,2.0,0.0,MAR,2022
9856,A - IPC Crime,FOREST,Forest (Conservation) Act 1980,3.0,0.0,2.0,0.0,MAR,2022
9857,A - IPC Crime,HIJACKING,Foreign Aircraft - In India,0.0,0.0,0.0,0.0,MAR,2022
9858,A - IPC Crime,HIJACKING,Foreign Aircraft - Outside India,0.0,0.0,0.0,0.0,MAR,2022
9859,A - IPC Crime,HIJACKING,Indian Aircraft - In India,0.0,0.0,0.0,0.0,MAR,2022
9860,A - IPC Crime,HIJACKING,Indian Aircraft - Outside India,0.0,0.0,0.0,0.0,MAR,2022
9861,A - IPC Crime,IMMORAL TRAFFIC,Organised,47.0,10.0,17.0,20.0,MAR,2022
9862,A - IPC Crime,IMMORAL TRAFFIC,Un-Organised,35.0,13.0,20.0,8.0,MAR,2022
9863,A - IPC Crime,BONDED LABOUR SYSTEM,BONDED LABOUR SYSTEM,3.0,0.0,3.0,0.0,MAR,2022
9864,A - IPC Crime,INDIAN MOTOR VEHICLE,INDIAN MOTOR VEHICLE,5.0,1.0,2.0,2.0,MAR,2022
9865,A - IPC Crime,NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT,Cultivated/Processed,862.0,354.0,307.0,281.0,MAR,2022
9866,A - IPC Crime,NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT,Synthetic,548.0,206.0,208.0,172.0,MAR,2022
9867,A - IPC Crime,PASSPORT ACT,Foreigner,1.0,0.0,0.0,1.0,MAR,2022
9868,A - IPC Crime,PASSPORT ACT,Indian,7.0,1.0,3.0,2.0,MAR,2022
9869,A - IPC Crime,REPRESENTATIVE OF PEOPLE ACT 1951 & 1988,Assembly,0.0,0.0,0.0,0.0,MAR,2022
9870,A - IPC Crime,REPRESENTATIVE OF PEOPLE ACT 1951 & 1988,Parliament,0.0,0.0,0.0,0.0,MAR,2022
9871,A - IPC Crime,REPRESENTATIVE OF PEOPLE ACT 1951 & 1988,Other Elected Bodies,1.0,0.0,0.0,0.0,MAR,2022
9872,A - IPC Crime,KARNATAKA POLICE ACT 1963,Gambling - Matka (78 Class C),1382.0,763.0,420.0,579.0,MAR,2022
9873,A - IPC Crime,KARNATAKA POLICE ACT 1963,Street Gambling (87),1395.0,506.0,425.0,494.0,MAR,2022
9874,A - IPC Crime,KARNATAKA POLICE ACT 1963,House Gambling (79 & 80),52.0,14.0,18.0,17.0,MAR,2022
9875,A - IPC Crime,KARNATAKA POLICE ACT 1963,Betting ,51.0,14.0,8.0,31.0,MAR,2022
9876,A - IPC Crime,KARNATAKA POLICE ACT 1963,Others ,111.0,40.0,41.0,40.0,MAR,2022
9877,A - IPC Crime,PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT 1984,PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT 1984,55.0,11.0,12.0,22.0,MAR,2022
9878,A - IPC Crime,"POST & TELEGRAPH, TELEGRAPH WIRES (UNLAWFUL POSSESSION) ACT 1980","POST & TELEGRAPH, TELEGRAPH WIRES (UNLAWFUL POSSESSION) ACT 1980",2.0,0.0,0.0,0.0,MAR,2022
9879,A - IPC Crime,Official Secrets Act 1923,Official Secrets Act 1923,0.0,0.0,0.0,0.0,MAR,2022
9880,A - IPC Crime,Essential Services Maintenance Act 1981,Essential Services Maintenance Act 1981,0.0,1.0,0.0,0.0,MAR,2022
9881,A - IPC Crime,PREVENTION OF TERRORISM ACT (POTA),PREVENTION OF TERRORISM ACT (POTA),0.0,0.0,0.0,0.0,MAR,2022
9882,A - IPC Crime,RAILWAYS ACT,Indian Railways Act 1989,3.0,0.0,1.0,1.0,MAR,2022
9883,A - IPC Crime,RAILWAYS ACT,Railway Property (Unlawful Possession) Act 1966,0.0,0.0,0.0,0.0,MAR,2022
9884,A - IPC Crime,UNLAWFUL ACTIVITIES (Prevention) Act 1967,UNLAWFUL ACTIVITIES (Prevention) Act 1967,0.0,0.0,0.0,0.0,MAR,2022
9885,A - IPC Crime,Dowry Prohibition,Dowry Prohibition,488.0,162.0,152.0,165.0,MAR,2022
9886,A - IPC Crime,Commission of SATI (Prevention) Act 1987,Commission of SATI (Prevention) Act 1987,0.0,0.0,0.0,0.0,MAR,2022
9887,A - IPC Crime,Indecent Representation of Women (Prohibition) Act 1986,Indecent Representation of Women (Prohibition) Act 1986,1.0,0.0,1.0,0.0,MAR,2022
9888,A - IPC Crime,INDIAN LUNACY ACT,INDIAN LUNACY ACT,0.0,0.0,0.0,0.0,MAR,2022
9889,A - IPC Crime,INDIAN ELECTRICITY ACT,INDIAN ELECTRICITY ACT,4.0,1.0,1.0,0.0,MAR,2022
9890,A - IPC Crime,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS","COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",40.0,33.0,13.0,14.0,MAR,2022
9891,A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Epidemic Deseases Act 2020,60.0,1.0,11.0,1.0,MAR,2022
9892,A - IPC Crime,KARNATAKA STATE LOCAL ACTS,"The Karnataka Prevention of Dangerous Activities of Bootleggers, Drug-offenders, Gamblers, Goonda Act",1.0,0.0,0.0,0.0,MAR,2022
9893,A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Cow Slaughters Act,79.0,30.0,28.0,29.0,MAR,2022
9894,A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Prevention of Slaughter and Preservation of Cattle Act 2020,42.0,2.0,19.0,7.0,MAR,2022
9895,A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Disaster Management Act 2005,33.0,3.0,3.0,1.0,MAR,2022
9896,A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Excise Act 1965,2175.0,565.0,710.0,830.0,MAR,2022
9897,A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Forest Act 1963,14.0,4.0,5.0,5.0,MAR,2022
9898,A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Education Act 1983 As Amended Upto Date,2.0,2.0,0.0,1.0,MAR,2022
9899,A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Kerosene Restriction Unuse Act 1956,0.0,0.0,0.0,0.0,MAR,2022
9900,A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka University Act,0.0,0.0,0.0,0.0,MAR,2022
9901,A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Corruption Act,0.0,0.0,0.0,0.0,MAR,2022
9902,A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Medical Registration Act 1965,1.0,0.0,0.0,0.0,MAR,2022
9903,A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Land & Revenue Acdt 1964 & 2007,18.0,4.0,2.0,3.0,MAR,2022
9904,A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Kerosene Dealers License Order 1969,0.0,0.0,0.0,0.0,MAR,2022
9905,A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Society Registration Act,1.0,0.0,0.0,1.0,MAR,2022
9906,A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Minor Mineral Consistent Rule 1994,15.0,7.0,2.0,7.0,MAR,2022
9907,A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Bangalore Development Authority Act,0.0,1.0,0.0,0.0,MAR,2022
9908,A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Prohibition of Beggery Act 1975,1.0,0.0,0.0,1.0,MAR,2022
9909,A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Municipalities Act 1964,0.0,0.0,0.0,0.0,MAR,2022
9910,A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Irrigation Act 1963,3.0,0.0,0.0,3.0,MAR,2022
9911,A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Fire Force act 1964,0.0,0.0,0.0,0.0,MAR,2022
9912,A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Consumer Protection Act 1986,1.0,1.0,0.0,1.0,MAR,2022
9913,A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Lottery Act,11.0,1.0,7.0,2.0,MAR,2022
9914,A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Weight & Measurement Act,0.0,0.0,0.0,0.0,MAR,2022
9915,A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Agriculture Marketing Regulation Act,0.0,0.0,0.0,0.0,MAR,2022
9916,A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Revenue Act,0.0,1.0,0.0,0.0,MAR,2022
9917,A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Mining Act,1.0,1.0,1.0,0.0,MAR,2022
9918,A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Betting Tax Act,0.0,0.0,0.0,0.0,MAR,2022
9919,A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Panchayat Raj Act,0.0,0.0,0.0,0.0,MAR,2022
9920,A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Open Place Disfigurement Act 1951,16.0,4.0,3.0,9.0,MAR,2022
9921,A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Right To Information Act 2000 & 2008,0.0,0.0,0.0,0.0,MAR,2022
9922,A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Urban Development Act 1987,0.0,0.0,0.0,0.0,MAR,2022
9923,A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Town & City Planning Act 1961,0.0,0.0,0.0,0.0,MAR,2022
9924,A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Race Betting Act,0.0,0.0,0.0,0.0,MAR,2022
9925,A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Devadasi's (Prohibition Of Dedication) Act 1982,0.0,0.0,0.0,0.0,MAR,2022
9926,A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Cooperative Society Act,0.0,1.0,0.0,0.0,MAR,2022
9927,A - IPC Crime,KARNATAKA STATE LOCAL ACTS,Karnataka Entertainment Tax Act 1958,1.0,0.0,0.0,0.0,MAR,2022
